0.00171 0.74296
0.00171 0.81338
0.00399 0.86972
0.01083 0.93310
0.01538 0.96831
0.01994 1.00352
0.03134 1.04577
0.04274 1.08803
0.06097 1.13380
0.07920 1.17254
0.09288 1.20070
0.11111 1.22887
0.12934 1.25000
0.14758 1.27113
0.17037 1.29225
0.19316 1.31338
0.22051 1.32746
0.24786 1.34155
0.27066 1.35211
0.29345 1.35915
0.31624 1.36268
0.34359 1.36268
0.37094 1.35563
0.39373 1.34859
0.41652 1.33451
0.43932 1.32042
0.46439 1.30282
0.48490 1.28521
0.51225 1.25704
0.53048 1.23592
0.54872 1.21831
0.56695 1.19718
0.59658 1.16197
0.62165 1.13028
0.64444 1.09507
0.67179 1.05634
0.70826 0.99648
0.74017 0.94014
0.76752 0.88380
0.79943 0.81338
0.82222 0.75704
0.84046 0.71479
0.85413 0.67958

