0.00606 0.74063
0.01010 0.82188
0.01212 0.87813
0.02020 0.93438
0.02828 0.97813
0.03838 1.02188
0.05253 1.07188
0.07071 1.12500
0.10303 1.17188
0.13333 1.20938
0.17778 1.23438
0.22222 1.25312
0.26667 1.25938
0.30707 1.25938
0.35556 1.25938
0.40000 1.25312
0.45253 1.23438
0.50101 1.20625
0.54141 1.17500
0.58182 1.14063
0.60606 1.10938
0.62222 1.08750
0.66263 1.03438
0.67879 1.00938
0.71111 0.95625
0.72323 0.93438
0.73939 0.90313
0.75152 0.88437
0.76768 0.85312
0.77980 0.82813
0.79596 0.78750
0.81616 0.74063
0.84444 0.68438
 
